Title:,Exp1086--20210219_OGT_OTL_TPR_L3Pra_DR_straight_ramp
Date/Time:,2/19/2021,1:41:39 PM
Device:,qTOWER³84 /G,3107G-0109
Operator:,
Comments:,
Colors+Dyes:,Pos,Color Module,Dye,Gain,Meas,Refr
,1,Blue.470.520.11.3,FAM,5,*,
,2,Green.515.545.11.2,JOE,5,*,
,3,Yellow.535.580.11.2,TAMRA,5,*,
,4,Orange.565.605.11.2,ROX,5,*,
,5,Red.630.670.11.1,Cy5,5,*,
,6,NIR1.660.705.11.1,Cy5.5,5,*,
Heated Lid:,100°C
TC Protocol:,steps,scan,°C,m:s,goto,loops,delta Temp(°C),delta Time (s),ramp (°C/s
,1,*,25,00:30,1,69,1,0,4
Melt active:,No
Meas. Repeats:,3
Color Comp.:,

FAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
A11,1118.1392087104,1078.02310719466,1146.55989225111,1168.6421499662,1287.35473171971,1241.79985191488,1132.81982078395,1110.08327395138,1154.16600324186,1134.08750594907,1237.42429344171,1165.65695586768,1158.13263101661,1184.30419571597,1178.17023523956,1186.06259771921,1131.67481482835,1058.72157822888,986.627096096104,914.655293172858,877.524385755639,885.375855165447,822.114276118708,968.266107736708,1021.38620546244,1004.04754384912,1017.7058291766,1014.80242121776,907.417219810691,902.428265289875,859.326969675614,888.442835403654,922.99747942078,1002.61628640462,1037.90700567892,1087.6329786077,1135.96858716184,1202.33803951663,1181.03275012855,1182.01418380478,1159.97281915953,1057.98550297171,971.210408765386,882.186195717713,866.40147075841,852.211575522974,836.631315912886,778.849408225075,788.622851917493,816.634604759779,786.414626145985,789.154461825449,788.091242009538,798.478081749597,784.738010282432,735.257395772701,632.002394419749,666.066321598762,758.648231722755,805.675262041922,812.422618565976,799.909339194093,734.071496747261,704.914737949378,705.323668647805,711.989239032174,747.034599887413,747.934247423954,692.483244717181,654.861620461848
A12,2196.7757119527,2207.16255169276,2153.06102029079,2035.37076528335,1928.23092229534,1910.93315375185,1969.24667134762,1994.88662613902,1945.44690469914,1760.77380128926,1635.88636598949,1579.78107416524,1553.32325797698,1629.17990253528,1712.68355115419,1628.48472034796,1628.56650648764,1613.47696371567,1538.88800432248,1589.5954109275,1577.57284839373,1494.11009284467,1450.72254574151,1451.09058337009,1487.93523929841,1503.76085732756,1428.51760881689,1453.83041904956,1427.16813751208,1436.73711585529,1503.06567514023,1491.12489874615,1560.97026203757,1605.91174579476,1569.18976907596,1547.14840443072,1453.5850606305,1331.23299566098,1438.33194557915,1355.48258607774,1257.2165392456,1259.34297887742,1161.03603897545,1037.29360963128,1165.08445288988,1168.6421499662,1221.59867541256,1302.48516756153,1310.74556766977,1319.08775391769,1255.13099268362,1172.36341932189,1156.94673199117,1165.04355982004,1235.46142608926,1321.86848266699,1252.39115700416,1215.99632484411,1268.29856117299,1183.11829669053,1093.68515294443,1050.46117812064,1035.16716999945,962.745543307936,1093.5624737349,1050.54296426033,1080.96740822334,1149.83133783853,1171.83180941393,1097.61088764934
A13,621.901806168589,572.707443147757,649.99534515056,687.944113964635,727.487712502578,646.928364912354,550.134468594557,531.60990795579,738.242589871222,793.734485647838,801.626848127489,674.612973195898,522.204501891957,464.013663505719,508.546216564478,421.566657008942,348.736099618998,334.137273685136,262.451722250789,232.886032754479,214.770402814139,289.890972115277,416.373237138912,643.943170813833,754.272673249581,757.953049535429,681.237650510424,604.68582376479,489.530939087597,535.044925822581,520.118955329977,450.80520194651,498.568307522846,540.197452622768,536.762434755977,606.812263396613,579.413906601969,437.678526526986,457.63434461025,480.248212233292,497.177943148192,543.918721978459,530.832939628778,499.22259664033,504.784054138944,505.76548781517,560.480415264774,596.425423656554,611.9647901968,578.555152135271,523.390400917397,512.962668107495,507.40121060888,478.408024090368,439.641393879439,416.291450999227,429.990629396549,440.990865184249,453.17699999739,467.28510909314,501.962432319794,622.760560635287,691.706276390169,700.130248777776,737.17937005531,689.007333780547,631.307212232422,607.630124793468,575.937995665335,556.104856791599
A14,1285.59632971647,1239.55073307353,1113.27293339911,1105.25789170993,1199.27105927842,1217.79561991719,1245.76647968963,1181.31900161745,1035.45342148835,1036.43485516458,1133.3514306919,1088.53262614424,1235.99303599721,1209.20807525021,1219.67670112995,1155.02475770856,1086.24261423305,845.46421899892,678.416028691274,558.926478610749,549.234821058017,542.610143743491,621.656447749533,628.690055762486,687.494290196365,732.067736324966,765.027550618225,660.913794798576,644.679246071003,774.7601012408,878.13778180328,827.389482128423,798.028257981327,661.322725497003,672.56831970376,797.414861933685,932.402885484613,1024.16693421175,1131.55213561882,1120.67457904065,972.273628581298,905.086314829654,898.175386026229,921.607115046127,964.340373031804,923.978913097006,799.41862235598,768.094530856431,756.562685160775,793.77537871768,774.800994310643,774.514742821744,802.444709524344,757.135188138574,810.173499724624,870.163633183943,886.439074981359,881.327441251015,873.23061342215,793.366448019253,783.388538977621,735.952577960027,726.833423385094,705.364561717648,618.385002162112,582.562672979861,623.128598263872,641.857624251853,693.791822952149,739.264916617291
A15,1315.81630833027,1411.13805413372,1586.11949999086,1596.34276745155,1603.58084081372,1671.50422982253,1741.71763074254,1739.3867257615,1748.75123875549,1567.96297698068,1465.77119544364,1407.62125012725,1481.96485110137,1546.69858066245,1652.16180778691,1751.08214373653,1704.9547609539,1672.93548726703,1640.6708551611,1580.14911179382,1473.78623713282,1303.7937457965,1250.95989955966,1343.05109284554,1409.5841174797,1464.25815185946,1385.66167162169,1215.01489116788,1209.73968515816,1237.01536274328,1258.89315510915,1189.00689874789,1206.26377422153,1175.47129262994,1088.36905386487,1106.36200459568,1090.82263805544,976.976331613214,1017.29689847817,1000.61252598233,1026.25248077373,1107.75236897034,1171.01394801708,1049.92956821269,1051.5652910064,971.169515695543,1088.90066377283,1089.39138061094,1087.01958256006,953.053885755204,921.279970487385,802.52649566403,715.015326200538,597.979360310579,535.372070381324,515.579824577431,568.659029233325,591.722720624637,541.342458578365,505.438343256428,525.230589060321,552.99698348355,576.101567944706,547.394632915093,553.610379531191,543.509791280031,497.464194637091,499.304382780015,528.297569298527,561.216490521943
A16,1245.84826582932,994.723923924969,839.984547639991,796.14717676856,745.521556303232,752.677843525713,791.035543038216,800.931665940162,862.066805355078,947.451535186746,843.624030855996,765.313802107124,549.480179477073,532.141517863746,468.675473467793,461.969010013582,440.009431508023,477.999093391941,289.441148347006,334.259952894664,388.157018947412,405.822825119482,571.317078773104,735.911684890185,715.546936108494,764.373261500741,771.93847942165,616.340348669975,687.985007034478,763.718972383257,722.907688680189,664.430598805052,642.389234159808,546.617664588081,603.827069298092,613.109796152397,594.380770164416,587.428948291148,521.959143472901,532.836700051073,536.598862476606,601.905095015483,705.773492416076,725.279486731069,659.441644284236,619.938938816137,458.165954518206,502.534935297593,529.483468323967,596.466316726397,640.344580667671,620.061618025665,561.052918242572,522.122715752272,501.75796697058,505.929060094541,463.72741201682,494.192749049671,518.68769788548,514.107674063092,612.537293174599,644.392994582103,606.689584187085,584.402861122785,418.336104491364,380.591801026503,430.685811583876,516.111434485387,572.134940169959,606.934942606141
A17,2001.02058661544,2016.31459473663,1974.23562586843,1997.50378260896,2084.27887681528,2139.89345180143,2014.4744065937,1906.06687844056,1732.35311774855,1666.47438223187,1759.42432998445,1882.43068407145,1916.20835976157,1862.31129370882,1808.12797616717,1712.51997887481,1601.86333188032,1446.06073577943,1356.83205738255,1200.82499593244,1277.09057118918,1354.46025933167,1475.54463913606,1656.00575635213,1685.12162208017,1624.76345099227,1645.4553443327,1523.67578234098,1504.86497021331,1571.11174335857,1441.7260703761,1408.84804222253,1360.96225743667,1306.2882230569,1417.55826609904,1569.96673740298,1611.51409636321,1610.7371280362,1508.38177421979,1425.368842439,1431.5845890551,1430.27601082013,1371.30820410688,1271.57000676041,1270.2205354556,1323.46331239086,1381.04075472946,1410.4428719464,1358.26331482704,1290.62617730713,1246.7888064357,1306.12465077753,1306.8607260347,1293.36601298659,1250.4282896517,1206.30466729137,1140.54861098423,1108.97916106562,1097.07927774138,1082.8484894361,1054.26423361602,1092.00853708088,1152.65295965768,1052.95565538105,1084.07528153138,1125.54085435194,1170.97305494723,1213.54274065354,1224.37940416187,1122.43298104389
A18,1790.4621699951,1577.4501691842,1417.84451758794,1325.42617974331,1313.40361720954,1305.10232403147,1492.67883540017,1433.71102868692,1437.2278326934,1258.0752937123,1167.00642717249,1041.13755819649,1132.04285245693,1226.83298835244,1319.82382917486,1259.99726799491,1281.58880887188,1218.04097833624,1090.61817270623,1007.52345478575,867.996300482277,789.931430152462,751.655516779645,776.273144824982,774.105812123316,829.597707899932,807.638129394374,908.235081207546,1012.63508851609,1098.87857281446,1152.24402895925,1259.54744422664,1163.89855386444,1206.4273465009,1225.97423388574,1173.54931834733,1082.97116864563,1038.92933242499,929.908408224205,924.674095284333,1071.39842988013,1138.95378126036,1146.47810611143,1124.47763453602,1146.15096155268,1155.0656507784,1210.43486734549,1128.60783459014,1103.58127584638,1006.95095180795,984.050832696011,942.29900838656,899.688429610411,938.986669729297,1037.04825121222,1072.74790118494,1108.24308580845,990.348365451795,929.990194363891,978.162230638654,992.638377362989,1040.48326907901,1013.65741526216,1028.46070654524,1024.45318570065,1087.06047562991,1047.39419788244,1018.19654601471,971.292194905071,1040.23791065995
A19,1555.12255305006,1578.10445830168,1557.98506793905,1608.24265077579,1815.3251564595,1821.66358228512,1755.78484676845,1804.16134839242,1821.09107930732,1780.606940163,1825.87556847893,1633.18742337987,1492.31079777159,1459.39187654817,1473.78623713282,1438.90444855695,1464.91244097694,1508.99517026743,1591.68095748948,1680.29623983872,1626.56274606535,1545.18553707827,1555.89952137707,1630.07955007182,1768.82973604829,1861.90236301039,1889.01446831614,1894.33056739569,1871.1850898647,1802.0349087606,1716.2412482305,1653.18413453298,1704.38225797611,1836.7531250571,2020.93551162886,2352.86455954249,2934.89562261439,3969.24493121699,5130.40364940196,6177.42980965581,7108.03340006734,7586.2369588085,8019.41724765278,8236.96837921623,8055.89386595252,7840.01935025262,7598.62755897085,7292.13400049942,7341.77818728852,7193.2136645498,6924.50530261307,6785.10082751912,6616.37602134792,6452.92642118644,6283.8744704565,6075.11534890924,5937.10123818995,5746.74399807194,5596.33928719029,5405.45043716432,5076.50658334921,4957.42596396712,4944.50375389681,4814.42289872701,4728.83370354613,4661.68728286432,4464.13286245398,4344.1117024655,4227.97538411209,4073.27690089695
A20,1471.0872945232,1467.57049051672,1475.74910448527,1372.04427936405,1322.15473415589,1382.2266537549,1392.32724200606,1464.70797562773,1588.98201487986,1659.39988114908,1773.77779749926,1899.4013080562,1926.51341336194,1889.46429208441,1931.8295124415,1929.74396587952,1952.93033648036,2043.18134162332,2077.16348266264,2235.33787681441,2455.34259256842,2679.60018758608,2930.96988790949,3116.09281508763,3488.50600214558,3894.20614805553,4167.8216783734,4448.92064047248,4616.9911575262,4786.77918351331,5139.72726932611,5389.37946071612,5591.63658415837,5947.40629179032,6222.82111718127,6530.25521625908,6917.38990846043,7437.67243606978,7942.08845258013,8493.40882020013,8846.72494364152,9288.4109910131,9657.02112257567,10142.8716853774,10527.8390448771,10611.9969826135,10734.4717267925,10911.7840776307,10964.6179238675,11139.6402627945,11166.0162928431,11028.9836158,10835.1504647454,10612.7739509405,10326.8496066,10233.1226905204,10109.9936572238,10145.0390180791,10097.4394847821,10009.314919271,9707.15602620289,9539.94426361587,9260.68548965971,9063.37642766843,8949.03940438809,8803.13293118914,8603.16581965808,8517.20858684862,8349.79235891238,8213.16861256775
